ID;Aktywny(0 lub 1);Nazwa *;Opis;Krótki opis;Meta - tytuł;Słowa kluczowe meta;Opis meta;URL zdjęcia;ID / Nazwa sklepu grupy
92;1;Edoardo Caravella;Super marka Edoardo Caravella;;;;;https://img01.ztat.net/article/spp-media-p1/0706b392b054419a945176824748a765/79e4507b67f34f84a455945f56cc6e53.jpg?imwidth=300;
93;1;WOTEGA;Super marka WOTEGA;;;;;https://img01.ztat.net/article/spp-media-p1/1ddcda93b0d34bef9d63690d7cabd8e2/0cd9e2a8772e4eddbd4b5b941a08d0d8.jpg?imwidth=300;
94;1;Gianni Kavanagh;Super marka Gianni Kavanagh;;;;;https://img01.ztat.net/article/spp-media-p1/b16ba8ad8d2f4fc59383891aca860aac/f43add5e26a841e6b6d3b57946329e5e.jpg?imwidth=300;
95;1;Southpole;Super marka Southpole;;;;;https://img01.ztat.net/article/spp-media-p1/4e68e1c035434fe9b908ec2acea340aa/350f95b8d4b3482c995dbd7d72eed64c.jpg?imwidth=300;
96;1;Puma;Super marka Puma;;;;;https://img01.ztat.net/article/spp-media-p1/6b3ee04794594686a8ee10b534f115ef/2d5892ea4b3f4a61a00c2f6704de9b07.jpg?imwidth=300;
97;1;G-Star;Super marka G-Star;;;;;https://img01.ztat.net/article/spp-media-p1/c9b103017c7632e9bc06637e46752ede/a7d1228fb3fc48dd84cb622039ac3b39.jpg?imwidth=300;
98;1;Jaded London;Super marka Jaded London;;;;;https://img01.ztat.net/article/spp-media-p1/d3fd5ab7346a406ebc326f365c6bf22c/0e0a3a9d68304d939aa0c1f21ebcf01a.jpg?imwidth=300;
99;1;adidas Sportswear;Super marka adidas Sportswear;;;;;https://img01.ztat.net/article/spp-media-p1/e70220f5601149368bb9698e83d11285/f0333e3caf5a48ec8369df38770a32b8.jpg?imwidth=300&filter=packshot;
100;1;Lindbergh;Super marka Lindbergh;;;;;https://img01.ztat.net/article/spp-media-p1/ed99d62b3761351683624b27b2232a06/6609ae028a7c43a19c906635882007e5.jpg?imwidth=300;
101;1;Kappa;Super marka Kappa;;;;;https://img01.ztat.net/article/spp-media-p1/659d1a3b0ef44e3da348b53f23b82f7c/8da7c93cf2384cccb07c8ee9d069032f.jpg?imwidth=300;
102;1;The North Face;Super marka The North Face;;;;;https://img01.ztat.net/article/spp-media-p1/f828a27320524231a859c17c7251a840/911756ef8965440281b30aa3920de542.jpg?imwidth=300;
103;1;INDICODE JEANS;Super marka INDICODE JEANS;;;;;https://img01.ztat.net/article/spp-media-p1/70ce095a763e315eb0d8eb8c4a844d2b/60d0d8b790f04a8fb2a875f1c43f3f01.jpg?imwidth=300;
104;1;Sixth June;Super marka Sixth June;;;;;https://img01.ztat.net/article/spp-media-p1/59fe43cda2394d7880249671496abb5e/aa64f1f0817d4ffb8d0c984622ffcd5b.jpg?imwidth=300;
105;1;Bench;Super marka Bench;;;;;https://img01.ztat.net/article/spp-media-p1/245a5b8c53ce4afebc16c583fc8fd69e/b26074d5c422416c809cf8cf42727908.jpg?imwidth=300;
106;1;Fila;Super marka Fila;;;;;https://img01.ztat.net/article/spp-media-p1/096143994d004d0588de7f0725efc12d/6a17ee9d76284e35abbea5d922232f32.jpg?imwidth=300;
